year,day_label,start_time,end_time,title,speaker_names,track,type,tags
2024,Day 1,09:00,09:30,Opening Keynote: The Future of Food Data,"Dr. Maria Rodriguez, UC Davis",Main,keynote,"opening,keynote"
2024,Day 1,09:30,10:30,Panel: Digital Standards in Agriculture,"Sarah Chen, IC-FOODS; John Smith, USDA; Lisa Wang, GS1",Main,panel,"standards,agriculture"
2024,Day 1,11:00,12:00,Workshop: Implementing Traceability Systems,"Michael Rodriguez, IC-FOODS",Technical,workshop,"traceability,implementation"
2024,Day 1,14:00,15:00,Case Study: Farm-to-Table Data Flow,"Farm Fresh Co.; Tech Solutions Inc.",Main,case-study,"case-study,supply-chain"
2024,Day 2,09:00,10:00,Keynote: Innovation in Food Systems,"Dr. James Wilson, MIT",Main,keynote,"innovation,keynote"
2024,Day 2,10:30,11:30,Roundtable: Data Privacy and Security,"Privacy Experts Panel",Technical,roundtable,"privacy,security"
2024,Day 2,14:00,15:30,Poster Session: Research Highlights,Multiple Presenters,Poster Hall,poster,"research,posters"
2024,Day 3,09:00,10:00,Closing Keynote: Next Steps,"Dr. Sarah Chen, IC-FOODS",Main,keynote,"closing,keynote"
2024,Day 3,10:30,12:00,Working Groups: Implementation Planning,Facilitators,Main,workshop,"implementation,planning"

