publish,partner_name,partner_logo_url
publish,American Grassfed,American_Grassfed.png
publish,American Sustainable Business Network (ASBN),American_Sustainable_Business_Network.png
publish,Autocase,Autocase.png
publish,California Cattlemen's Association,California_Cattlemens_Association.png
publish,Case Western Reserve University,Case_Western_Reserve_University.png
publish,Center for Information Technology Research in the Interest of Society (CITRIS),Center_for_Information_Technology_Research_in_the_Interest_of_Society.png
publish,Environmental Change Institute,Environmental_Change_Institute.png
publish,Farm Fare,Farm_Fare.png
publish,Foodtography.Studio,Foodtography_Studio.png
publish,Food and Agriculture Organization of the United Nations (FAO),Food_and_Agriculture_Organization_of_the_United_Nations.png
publish,Food Systems Lab,UC_Davis_Food_Systems_Lab.png
publish,Food Tech Connect,Food_Tech_Connect.png
publish,Friedman School of Nutrition Science and Policy at Tufts University,Friedman_School_of_Nutrition_at_Tufts_University.png
publish,Future Food Institute,Future_Food_Institute.png
publish,Georgetown University,Georgetown_University.png
publish,Givaudan,Givaudan.png
publish,Global Open Data for Agriculture and Nutrition,Global_Open_Data_for_Agriculture_and_Nutrition.png
publish,Glycan and Life Systems Integration Center (GaLSIC),Glycan_and_Life_Systems_Integration_Center.png
publish,HRI Labs,HRI_Labs.png
publish,ICICLE AI Institute,ICICLE_AI_Institute.png
publish,Indiana University,Indiana_University.png
publish,Innovation Institute for Food and Health,Innovation_Institute_for_Food_and_Health.png
publish,Innovative Food Systems Teaching and Learning (IFSTAL),Innovative_Food_Systems_Teaching_and_Learning.png
internal review,Into,Into.png
publish,Iowa State University,Iowa_State_University.png
publish,Kitchentown,Kitchentown.png
publish,NASA,NASA.png
internal review,National Data Service,National_Data_Service.png
publish,National Science Foundation,National_Science_Foundation.png
publish,New Harvest,New_Harvest.png
publish,Ohio Supercomputer Center,Ohio_Supercomputer_Center.png
publish,OpenTEAM,Open_Team.png
publish,Open Food Facts,Open_Food_Facts.png
publish,Other Half Processing,Other_Half_Processing.png
publish,Pure Strategies,Pure_Strategies.png
publish,Regenerative Rising,Regenerative_Rising.png
publish,Roots of Change,Roots_of_Change.png
publish,Royal Society of Chemistry,Royal_Society_of_Chemistry.png
publish,Silicon Valley Forum,Silicon_Valley_Forum.png
publish,Simon Fraser University,Simon_Fraser_University.png
publish,Smart Kitchen Summit,Smart_Kitchen_Summit.png
publish,Texas Advanced Computing Center,Texas_Advanced_Computing_Center.png
publish,Textile Exchange,Textile_Exchange.png
publish,The Lexicon of Sustainability,The_Lexicon_of_Sustainability.png
publish,The Mixing Bowl,The_Mixing_Bowl.png
publish,The Ohio State University,The_Ohio_State_University.png
publish,The Spoon,The_Spoon.png
publish,The Vine,The_Vine.png
publish,UC Davis Department of Food Science and Technology,UC_Davis_Department_of_Food_Science_and_Technology.png
publish,UC Davis School of Medicine,UC_Davis_School_of_Medicine.png
publish,UC San Diego,UC_San_Diego.png
publish,United States Department of Agriculture (USDA),United_States_Department_of_Agriculture.png
publish,University College Dublin,University_College_Dublin.png
publish,University of California Agriculture and Natural Resources (UCANR),University_of_California_Agriculture_and_Natural_Resources.png
publish,University of Delaware,University_of_Delaware.png
publish,University of Montpellier,University_of_Montpellier.png
publish,University of Utah,University_of_Utah.png
publish,University of Wisconsin Madison,University_of_Wisconsin_Madison.png
publish,Vireo Advisors,Vireo_Advisors.png
publish,West Big Data Innovation Hub,West_Big_Data_Innovation_Hub.png
publish,Wolfe's Neck Center for Agriculture & the Environment,Wolfes_Neck_Center_for_Agriculture_&_the_Environment.png
internal review,??,_UNKNOWN ORG - foundrylogo.png
